Plate,Col,Row,Compound,Compound Name,SMILES,Formula,Molecular Weight,LogP,LogSW,Rotatable Bonds,Hdon,Hacc,tPSA,Salt Form,Form,Stereochemistry,Price group,Structure
1,12,C,18014754,,,,,,,,,,,,,,,
1,13,C,78415861,,,,,,,,,,,,,,,
1,14,C,46571737,,,,,,,,,,,,,,,
1,15,C,58748663,,,,,,,,,,,,,,,
1,16,C,10467565,,,,,,,,,,,,,,,
1,17,C,70853161,,,,,,,,,,,,,,,
1,18,C,76553285,,,,,,,,,,,,,,,
1,19,C,50376445,,,,,,,,,,,,,,,
1,20,C,97705074,,,,,,,,,,,,,,,
1,21,C,39267186,,,,,,,,,,,,,,,
1,22,C,28568904,,,,,,,,,,,,,,,
1,23,C,98316715,,,,,,,,,,,,,,,
1,24,C,64399793,,,,,,,,,,,,,,,
1,25,C,94319033,,,,,,,,,,,,,,,
1,26,C,53603029,,,,,,,,,,,,,,,
1,27,C,34631955,,,,,,,,,,,,,,,
1,28,C,96743871,,,,,,,,,,,,,,,
1,29,C,88940380,,,,,,,,,,,,,,,
1,30,C,31196926,,,,,,,,,,,,,,,
1,31,C,46289201,,,,,,,,,,,,,,,
1,32,C,30192687,,,,,,,,,,,,,,,
1,33,C,15807525,,,,,,,,,,,,,,,
1,34,C,22868851,,,,,,,,,,,,,,,
1,35,C,49086046,,,,,,,,,,,,,,,
1,36,C,28189691,,,,,,,,,,,,,,,
1,37,C,68474478,,,,,,,,,,,,,,,
1,38,C,39933428,,,,,,,,,,,,,,,
1,39,C,46172751,,,,,,,,,,,,,,,
1,40,C,66492629,,,,,,,,,,,,,,,
1,41,C,69826419,,,,,,,,,,,,,,,
1,42,C,64500794,,,,,,,,,,,,,,,
1,43,C,96449961,,,,,,,,,,,,,,,
1,44,C,84087197,,,,,,,,,,,,,,,
1,45,C,DMSO,,,,,,,,,,,,,,,
1,46,C,DMSO,,,,,,,,,,,,,,,
1,47,C,DMSO,,,,,,,,,,,,,,,
1,48,C,DMSO,,,,,,,,,,,,,,,
1,1,D,DMSO,,,,,,,,,,,,,,,
1,2,D,DMSO,,,,,,,,,,,,,,,
1,3,D,DMSO,,,,,,,,,,,,,,,
1,4,D,DMSO,,,,,,,,,,,,,,,
1,5,D,90730688,,,,,,,,,,,,,,,
1,6,D,47831165,,,,,,,,,,,,,,,
1,7,D,74261893,,,,,,,,,,,,,,,
1,8,D,58437950,,,,,,,,,,,,,,,
1,9,D,97875798,,,,,,,,,,,,,,,
1,10,D,45888331,,,,,,,,,,,,,,,
1,11,D,16306413,,,,,,,,,,,,,,,
1,12,D,24370075,,,,,,,,,,,,,,,
1,13,D,39618417,,,,,,,,,,,,,,,
1,14,D,93320832,,,,,,,,,,,,,,,
1,15,D,54934508,,,,,,,,,,,,,,,
1,16,D,60667236,,,,,,,,,,,,,,,
1,17,D,31940828,,,,,,,,,,,,,,,
1,18,D,10219051,,,,,,,,,,,,,,,
1,19,D,36457243,,,,,,,,,,,,,,,
1,20,D,10729547,,,,,,,,,,,,,,,
1,21,D,59345541,,,,,,,,,,,,,,,
1,22,D,12981295,,,,,,,,,,,,,,,
1,23,D,80333108,,,,,,,,,,,,,,,
1,24,D,21052056,,,,,,,,,,,,,,,
1,25,D,93265265,,,,,,,,,,,,,,,
1,26,D,14304854,,,,,,,,,,,,,,,
1,27,D,28003889,,,,,,,,,,,,,,,
1,28,D,21773155,,,,,,,,,,,,,,,
1,29,D,41589546,,,,,,,,,,,,,,,
1,30,D,75673282,,,,,,,,,,,,,,,
1,31,D,54119935,,,,,,,,,,,,,,,
1,32,D,46190540,,,,,,,,,,,,,,,
1,33,D,23524939,,,,,,,,,,,,,,,
1,34,D,63695654,,,,,,,,,,,,,,,
1,35,D,23993441,,,,,,,,,,,,,,,
1,36,D,69036562,,,,,,,,,,,,,,,
1,37,D,55633462,,,,,,,,,,,,,,,
1,38,D,44236137,,,,,,,,,,,,,,,
1,39,D,11906613,,,,,,,,,,,,,,,
1,40,D,39069477,,,,,,,,,,,,,,,
1,41,D,43631475,,,,,,,,,,,,,,,
1,42,D,32991568,,,,,,,,,,,,,,,
1,43,D,11270372,,,,,,,,,,,,,,,
1,44,D,47522181,,,,,,,,,,,,,,,
1,45,D,DMSO,,,,,,,,,,,,,,,
1,46,D,DMSO,,,,,,,,,,,,,,,
1,47,D,DMSO,,,,,,,,,,,,,,,
1,48,D,DMSO,,,,,,,,,,,,,,,
1,1,E,DMSO,,,,,,,,,,,,,,,
1,2,E,DMSO,,,,,,,,,,,,,,,
1,3,E,DMSO,,,,,,,,,,,,,,,
1,4,E,DMSO,,,,,,,,,,,,,,,
1,5,E,10895472,,,,,,,,,,,,,,,
1,6,E,16294192,,,,,,,,,,,,,,,
1,7,E,20739446,,,,,,,,,,,,,,,
1,8,E,57623522,,,,,,,,,,,,,,,
1,9,E,12714869,,,,,,,,,,,,,,,
1,10,E,35468378,,,,,,,,,,,,,,,
1,11,E,10190113,,,,,,,,,,,,,,,
1,12,E,86608356,,,,,,,,,,,,,,,
1,13,E,64231631,,,,,,,,,,,,,,,
1,14,E,28080731,,,,,,,,,,,,,,,
1,15,E,89039743,,,,,,,,,,,,,,,
1,16,E,99529247,,,,,,,,,,,,,,,
1,17,E,29936897,,,,,,,,,,,,,,,
1,18,E,24772979,,,,,,,,,,,,,,,
1,19,E,15911255,,,,,,,,,,,,,,,
1,20,E,76461995,,,,,,,,,,,,,,,
1,21,E,61441322,,,,,,,,,,,,,,,
1,22,E,63844529,,,,,,,,,,,,,,,
1,23,E,86523164,,,,,,,,,,,,,,,
1,24,E,10774224,,,,,,,,,,,,,,,
1,25,E,86007135,,,,,,,,,,,,,,,
1,26,E,49181098,,,,,,,,,,,,,,,
1,27,E,92314786,,,,,,,,,,,,,,,
1,28,E,11542869,,,,,,,,,,,,,,,
1,29,E,26555829,,,,,,,,,,,,,,,
1,30,E,10518251,,,,,,,,,,,,,,,
1,31,E,43315286,,,,,,,,,,,,,,,
1,32,E,89010690,,,,,,,,,,,,,,,
1,33,E,10808896,,,,,,,,,,,,,,,
1,34,E,87197416,,,,,,,,,,,,,,,
1,35,E,27282462,,,,,,,,,,,,,,,
1,36,E,46808170,,,,,,,,,,,,,,,
1,37,E,24926509,,,,,,,,,,,,,,,
1,38,E,17547960,,,,,,,,,,,,,,,
1,39,E,13225309,,,,,,,,,,,,,,,
1,40,E,62244824,,,,,,,,,,,,,,,
1,41,E,91742527,,,,,,,,,,,,,,,
1,42,E,97053121,,,,,,,,,,,,,,,
1,43,E,87290733,,,,,,,,,,,,,,,
1,44,E,24538797,,,,,,,,,,,,,,,
1,45,E,DMSO,,,,,,,,,,,,,,,
1,46,E,DMSO,,,,,,,,,,,,,,,
1,47,E,DMSO,,,,,,,,,,,,,,,
1,48,E,DMSO,,,,,,,,,,,,,,,
1,1,F,DMSO,,,,,,,,,,,,,,,
1,2,F,DMSO,,,,,,,,,,,,,,,
1,3,F,DMSO,,,,,,,,,,,,,,,
1,4,F,DMSO,,,,,,,,,,,,,,,
1,5,F,31630915,,,,,,,,,,,,,,,
1,6,F,25953766,,,,,,,,,,,,,,,
1,7,F,39515989,,,,,,,,,,,,,,,
